1.000000000000000000e+00 4.470172772179999837e-02 1.944677297128362170e+03 1.929282856747841288e+04 3.447245775456567935e+04 5.398913110879612213e+04 7.784283774469867058e+04 -1.560980000000000034e+00
2.000000000000000000e+00 5.482045691950000049e-02 1.264277428734711748e+03 1.279924867544504013e+04 2.289234145098857698e+04 3.586919116938354273e+04 5.172977360594071797e+04 -1.560980000000000034e+00
3.000000000000000000e+00 6.493918611729999901e-02 8.768246441424488467e+02 9.097133505823716405e+03 1.628989011435924476e+04 2.553775123211682512e+04 3.684067007044151978e+04 -1.560980000000000034e+00
4.000000000000000000e+00 7.505791531510000447e-02 6.357256428515333937e+02 6.789036024382403411e+03 1.217315879473224413e+04 1.909565679515958254e+04 2.755644836849523563e+04 -1.560980000000000034e+00
5.000000000000000000e+00 8.517664451280000659e-02 4.758359730746582272e+02 5.253996794479287928e+03 9.434849011909616820e+03 1.481031845613399128e+04 2.138027309720688208e+04 -1.560980000000000034e+00
6.000000000000000000e+00 9.529537371059999817e-02 3.646203035080152972e+02 4.181936905186373224e+03 7.522030296903466478e+03 1.181657015115101785e+04 1.706535537787601061e+04 -1.560980000000000034e+00
7.000000000000000000e+00 1.054141029084000036e-01 2.843557942861276047e+02 3.403995062647899886e+03 6.133594329734733947e+03 9.643273688036804742e+03 1.393274127479133494e+04 -1.560980000000000034e+00
8.000000000000000000e+00 1.155328321061000058e-01 2.247164637379808028e+02 2.821830182422578673e+03 5.094186014854053610e+03 8.016057791934063061e+03 1.158703841571278281e+04 -1.560980000000000034e+00
9.000000000000000000e+00 1.256515613039000112e-01 1.793534346498609011e+02 2.375018094017361818e+03 4.296064617974348948e+03 6.766347725293641815e+03 9.785318258042629168e+03 -1.560980000000000034e+00
1.000000000000000000e+01 1.357702905017000028e-01 1.441871507132412944e+02 2.024769119734980222e+03 3.670068561152529128e+03 5.785933592985940777e+03 8.371644277067280200e+03 -1.560980000000000034e+00
1.100000000000000000e+01 1.458890196993999910e-01 1.164978243491593020e+02 1.745255592905111143e+03 3.170150396692636605e+03 5.002772003710230820e+03 7.242199608191945117e+03 -1.560980000000000034e+00
1.200000000000000000e+01 1.560077488972000104e-01 9.441455308882059683e+01 1.518740176611282550e+03 2.764689437349525633e+03 4.367392790029824937e+03 6.325697674984152400e+03 -1.560980000000000034e+00
1.300000000000000000e+01 1.661264780950000020e-01 7.661523425160889644e+01 1.332713961229652114e+03 2.431388268267266994e+03 3.844913473201263059e+03 5.571874157052612645e+03 -1.560980000000000034e+00
1.400000000000000000e+01 1.762452072926999902e-01 6.214343749233140102e+01 1.178149743205656478e+03 2.154157878585071103e+03 3.410165353035175031e+03 4.944463137070705670e+03 -1.560980000000000034e+00
1.500000000000000000e+01 1.863639364905000095e-01 5.029290023491309825e+01 1.048400156950190649e+03 1.921152717018345129e+03 3.044618911573304104e+03 4.416766250410313660e+03 -1.560980000000000034e+00
1.600000000000000000e+01 1.964826656883000011e-01 4.053254236639779862e+01 9.384822664610653646e+02 1.723494900384701168e+03 2.734387556571981804e+03 3.968775840419986707e+03 -1.560980000000000034e+00
1.700000000000000000e+01 2.066013948859999894e-01 3.245653022834989798e+01 8.446011249095778339e+02 1.554424565916418260e+03 2.468898171681702934e+03 3.585259056868269909e+03 -1.560980000000000034e+00
1.800000000000000000e+01 2.167201240838000087e-01 2.575025897618910165e+01 7.638252419447040893e+02 1.408721119000387489e+03 2.239985551632823444e+03 3.254452823324408200e+03 -1.560980000000000034e+00
1.900000000000000000e+01 2.268388532816000003e-01 2.016670213679320156e+01 6.938610195570867063e+02 1.282300974486043742e+03 2.041263009349449248e+03 2.967156802973081994e+03 -1.560980000000000034e+00
2.000000000000000000e+01 2.369575824792999885e-01 1.550966316290159952e+01 6.328931029368352483e+02 1.171932848840215229e+03 1.867676924645667214e+03 2.716091448139084605e+03 -1.560980000000000034e+00
2.100000000000000000e+01 2.470763116771000079e-01 1.162171374965629944e+01 5.794695123049218637e+02 1.075032915772286515e+03 1.715186261455426120e+03 2.495436148606849656e+03 -1.560980000000000034e+00
2.200000000000000000e+01 2.571950408749000272e-01 8.375373158548299557e+00 5.324177498902702155e+02 9.895152057923802431e+02 1.580528530632891034e+03 2.300491960042931623e+03 -1.560980000000000034e+00
2.300000000000000000e+01 2.673137700725999877e-01 5.666565195722600201e+00 4.907826869543204111e+02 9.136808510522827191e+02 1.461046535753405124e+03 2.127431932131526992e+03 -1.560980000000000034e+00
