-4.	-1.01426953961345
-3.99	-1.0143005238959975
-3.98	-1.0143320553742137
-3.97	-1.0143641437177162
-3.96	-1.0143967987672071
-3.95	-1.0144300305375074
-3.94	-1.0144638492206457
-3.93	-1.014498265189001
-3.92	-1.0145332889985044
-3.91	-1.0145689313918933
-3.9	-1.0146052033020285
-3.89	-1.0146421158552663
-3.88	-1.0146796803748945
-3.87	-1.0147179083846265
-3.86	-1.0147568116121597
-3.85	-1.0147964019927966
-3.84	-1.0148366916731315
-3.83	-1.0148776930148022
-3.82	-1.0149194185983086
-3.81	-1.0149618812268997
-3.8	-1.015005093930531
-3.79	-1.0150490699698917
-3.78	-1.0150938228405035
-3.77	-1.015139366276894
-3.76	-1.0151857142568437
-3.75	-1.0152328810057092
-3.74	-1.0152808810008247
-3.73	-1.0153297289759808
-3.7199999999999998	-1.0153794399259841
-3.71	-1.0154300291112996
-3.7	-1.015481512062774
-3.69	-1.0155339045864458
-3.68	-1.0155872227684404
-3.67	-1.0156414829799527
-3.66	-1.015696701882321
-3.65	-1.0157528964321898
-3.64	-1.0158100838867654
-3.63	-1.0158682818091673
-3.62	-1.0159275080738746
-3.61	-1.0159877808722706
-3.6	-1.016049118718286
-3.59	-1.0161115404541456
-3.58	-1.0161750652562165
-3.57	-1.0162397126409615
-3.56	-1.0163055024710006
-3.55	-1.0163724549612818
-3.54	-1.0164405906853606
-3.53	-1.0165099305817962
-3.52	-1.0165804959606588
-3.51	-1.0166523085101586
-3.5	-1.0167253903033897
-3.49	-1.0167997638051995
-3.48	-1.0168754518791796
-3.4699999999999998	-1.0169524777947843
-3.46	-1.0170308652345756
-3.45	-1.0171106383016024
-3.44	-1.017191821526909
-3.4299999999999997	-1.0172744398771822
-3.42	-1.0173585187625365
-3.41	-1.0174440840444372
-3.4	-1.0175311620437717
-3.39	-1.017619779549062
-3.38	-1.0177099638248293
-3.37	-1.017801742620109
-3.36	-1.0178951441771198
-3.35	-1.0179901972400902
-3.34	-1.0180869310642464
-3.33	-1.0181853754249606
-3.32	-1.0182855606270678
-3.31	-1.0183875175143513
-3.3	-1.0184912774792008
-3.29	-1.0185968724724446
-3.2800000000000002	-1.0187043350133629
-3.27	-1.0188136981998825
-3.26	-1.0189249957189574
-3.25	-1.0190382618571376
-3.24	-1.0191535315113325
-3.23	-1.019270840199768
-3.2199999999999998	-1.0193902240731474
-3.21	-1.0195117199260122
-3.2	-1.0196353652083137
-3.19	-1.0197611980371943
-3.1799999999999997	-1.019889257208985
-3.17	-1.020019582211423
-3.16	-1.0201522132360932
-3.15	-1.0202871911910958
-3.14	-1.0204245577139501
-3.13	-1.020564355184731
-3.12	-1.0207066267394505
-3.11	-1.0208514162836821
-3.1	-1.0209987685064383
-3.09	-1.0211487288943024
-3.08	-1.0213013437458196
-3.07	-1.0214566601861554
-3.06	-1.0216147261820236
-3.05	-1.0217755905568902
-3.04	-1.0219393030064559
-3.0300000000000002	-1.0221059141144297
-3.02	-1.0222754753685892
-3.01	-1.0224480391771418
-3.	-1.0226236588853872
-2.99	-1.0228023887926903
-2.98	-1.022984284169767
-2.9699999999999998	-1.023169401276295
-2.96	-1.0233577973788497
-2.95	-1.0235495307691724
-2.94	-1.023744660782781
-2.9299999999999997	-1.0239432478179267
-2.92	-1.0241453533549076
-2.91	-1.0243510399757378
-2.9	-1.0245603713841864
-2.8899999999999997	-1.024773412426194
-2.88	-1.0249902291106687
-2.87	-1.025210888630673
-2.86	-1.0254354593850081
-2.8499999999999996	-1.0256640110002044
-2.84	-1.0258966143529253
-2.83	-1.0261333415927916
-2.8200000000000003	-1.0263742661656388
-2.81	-1.0266194628372103
-2.8	-1.0268690077173002
-2.79	-1.0271229782843514
-2.7800000000000002	-1.0273814534105215
-2.77	-1.0276445133872196
-2.76	-1.0279122399511313
-2.75	-1.0281847163107378
-2.74	-1.0284620271733371
-2.73	-1.0287442587725821
-2.7199999999999998	-1.0290314988965426
-2.71	-1.0293238369163034
-2.7	-1.029621363815109
-2.69	-1.0299241722180663
-2.6799999999999997	-1.0302323564224143
-2.67	-1.0305460124283787
-2.66	-1.0308652379706171
-2.65	-1.0311901325502677
-2.6399999999999997	-1.0315207974676182
-2.63	-1.0318573358554046
-2.62	-1.032199852712754
-2.61	-1.0325484549397803
-2.5999999999999996	-1.0329032513728522
-2.59	-1.033264352820548
-2.58	-1.0336318721003062
-2.5700000000000003	-1.0340059240757908
-2.56	-1.0343866256949867
-2.55	-1.0347740960290353
-2.54	-1.0351684563118324
-2.5300000000000002	-1.035569829980402
-2.52	-1.0359783427160463
-2.51	-1.0363941224864202
-2.5	-1.036817299588205
-2.49	-1.0372480066907865
-2.48	-1.0376863788807698
-2.4699999999999998	-1.038132553707367
-2.46	-1.0385866712286838
-2.45	-1.039048874058926
-2.44	-1.039519307416545
-2.4299999999999997	-1.0399981191730956
-2.42	-1.0404854599040758
-2.41	-1.0409814829392758
-2.4	-1.0414863444151194
-2.3899999999999997	-1.0420002033278264
-2.38	-1.0425232215876392
-2.37	-1.0430555640741463
-2.36	-1.0435973986926195
-2.3499999999999996	-1.0441488964317214
-2.34	-1.0447102314225276
-2.33	-1.0452815809979938
-2.3200000000000003	-1.0458631257543056
-2.31	-1.0464550496132927
-2.3	-1.0470575398861208
-2.29	-1.0476707873380895
-2.2800000000000002	-1.048294986255468
-2.27	-1.0489303345129655
-2.26	-1.0495770336426384
-2.25	-1.0502352889045405
-2.24	-1.050905309358712
-2.23	-1.051587307938454
-2.2199999999999998	-1.0522815015258782
-2.21	-1.0529881110282877
