1.000000000000000000e+00 1.000000000000000000e+00 3.997676276857899946e+00 3.599767627578150098e+01 -3.413960628259755140e+03
2.000000000000000000e+00 6.727793696275099933e+00 3.895703060403400197e+00 3.589570306011329848e+01 -5.040358855462753240e+02
3.000000000000000000e+00 1.245558739255010039e+01 3.649844223153900113e+00 3.564984422037809964e+01 -2.704118378796076740e+02
4.000000000000000000e+00 1.818338108882520032e+01 3.277612902333300049e+00 3.527761285220380216e+01 -1.839716765305159925e+02
5.000000000000000000e+00 2.391117478510030026e+01 2.804042152726399895e+00 3.480404146917540231e+01 -1.389440694143384860e+02
6.000000000000000000e+00 2.963896848137540019e+01 2.258409165004500174e+00 3.425840417821790140e+01 -1.113198239813084029e+02
7.000000000000000000e+00 3.536676217765040064e+01 1.670886925657200095e+00 3.367086281545419979e+01 -9.264330059650440319e+01
8.000000000000000000e+00 4.109455587392550058e+01 1.069706026040700086e+00 3.306961908214640289e+01 -7.917307622804729306e+01
9.000000000000000000e+00 4.682234957020060051e+01 4.791613861837999977e-01 3.247890989568359998e+01 -6.899848597164519504e+01
1.000000000000000000e+01 5.255014326647560097e+01 -8.146267509330000489e-02 3.191792432955810099e+01 -6.104188981802909808e+01
1.100000000000000000e+01 5.827793696275070090e+01 -5.981683159916000303e-01 3.140052729274280097e+01 -5.464930720599119951e+01
1.200000000000000000e+01 6.400573065902580083e+01 -1.061936292691999961e+00 3.093557515220449972e+01 -4.940085322153530001e+01
1.300000000000000000e+01 6.973352435530090077e+01 -1.468063528631500025e+00 3.052759021343059942e+01 -4.501459749610280170e+01
1.400000000000000000e+01 7.546131805157590122e+01 -1.815339824725699991e+00 3.017759443862649960e+01 -4.129420790031340260e+01
1.500000000000000000e+01 8.118911174785100116e+01 -2.105203470995100190e+00 2.988395807023499984e+01 -3.809875628243000278e+01
1.600000000000000000e+01 8.691690544412610109e+01 -2.340963082800299855e+00 2.964317456418940111e+01 -3.532446295452810148e+01
1.700000000000000000e+01 9.264469914040110154e+01 -2.527131193230399919e+00 2.945051840678380017e+01 -3.289321310310379687e+01
1.800000000000000000e+01 9.837249283667620148e+01 -2.668885750202099949e+00 2.930057359397969918e+01 -3.074508503036980045e+01
1.900000000000000000e+01 1.041002865329513014e+02 -2.771657046869900221e+00 2.918763927348459930e+01 -2.883334505691160032e+01
2.000000000000000000e+01 1.098280802292264013e+02 -2.840827169478000069e+00 2.910602817025419853e+01 -2.712100859020749866e+01
2.100000000000000000e+01 1.155558739255014018e+02 -2.881524242569899918e+00 2.905027656051159823e+01 -2.557842394462180025e+01
2.200000000000000000e+01 1.212836676217765017e+02 -2.898492626478600176e+00 2.901528398175819845e+01 -2.418154080662100114e+01
2.300000000000000000e+01 1.270114613180516017e+02 -2.896021325573499894e+00 2.899639880191120156e+01 -2.291064721868509935e+01
2.400000000000000000e+01 1.327392550143266874e+02 -2.877915107553899787e+00 2.898946306858620048e+01 -2.174943356349900014e+01
2.500000000000000000e+01 1.384670487106016878e+02 -2.847495527341500132e+00 2.899082741717669975e+01 -2.068428886213460061e+01
2.600000000000000000e+01 1.441948424068768020e+02 -2.807621764893799998e+00 2.899734451250050071e+01 -1.970376478941770060e+01
2.700000000000000000e+01 1.499226361031518024e+02 -2.760723604396199793e+00 2.900634757771729966e+01 -1.879816255303889960e+01
2.800000000000000000e+01 1.556504297994268882e+02 -2.708840960947000109e+00 2.901561903387959873e+01 -1.795921098749409950e+01
2.900000000000000000e+01 1.613782234957018886e+02 -2.653665996783599823e+00 2.902335303892559892e+01 -1.717981320045199922e+01
3.000000000000000000e+01 1.671060171919770028e+02 -2.596585174550200215e+00 2.902811483600340026e+01 -1.645384532343370054e+01
3.100000000000000000e+01 1.728338108882520885e+02 -2.538719518361900018e+00 2.902879900013650172e+01 -1.577599527947499958e+01
3.200000000000000000e+01 1.785616045845270889e+02 -2.480962066813200195e+00 2.902458817850450146e+01 -1.514163258228209941e+01
3.300000000000000000e+01 1.842893982808022031e+02 -2.424011976178900074e+00 2.901491345627109908e+01 -1.454670241557679944e+01
3.400000000000000000e+01 1.900171919770772035e+02 -2.368405061490800101e+00 2.899941709153619840e+01 -1.398763886939279999e+01
3.500000000000000000e+01 1.957449856733522893e+02 -2.314540788586899822e+00 2.897791814533960064e+01 -1.346129340939259933e+01
3.600000000000000000e+01 2.014727793696272897e+02 -2.262705865383499937e+00 2.895038128029899838e+01 -1.296487554772389927e+01
3.700000000000000000e+01 2.072005730659024039e+02 -2.213094658577699825e+00 2.891688885301289957e+01 -1.249590335434369948e+01
3.800000000000000000e+01 2.129283667621774896e+02 -2.165826714027399902e+00 2.887761628225339905e+01 -1.205216195584369920e+01
3.900000000000000000e+01 2.186561604584524900e+02 -2.120961665073799907e+00 2.883281059649209865e+01 -1.163166855712360004e+01
4.000000000000000000e+01 2.243839541547276042e+02 -2.078511826333500068e+00 2.878277198606230058e+01 -1.123264282036340056e+01
4.100000000000000000e+01 2.301117478510026046e+02 -2.038452746290499995e+00 2.872783814390210111e+01 -1.085348166784119961e+01
4.200000000000000000e+01 2.358395415472776904e+02 -2.000731984831599863e+00 2.866837113418549876e+01 -1.049273775650789986e+01
4.300000000000000000e+01 2.415673352435526908e+02 -1.965276353232300099e+00 2.860474656050169884e+01 -1.014910101489379990e+01
4.400000000000000000e+01 2.472951289398278050e+02 -1.931997840446999959e+00 2.853734473774629876e+01 -9.821382745842200279e+00
4.500000000000000000e+01 2.530229226361028907e+02 -1.900798412953299987e+00 2.846654363823340006e+01 -9.508501888484900633e+00
