   1            1.00000000          3.96928683         35.96928683
   2            1.09909910          3.96291767         35.96291767
   3            1.19819820          3.95595491         35.95595491
   4            1.29729730          3.94840064         35.94840064
   5            1.39639640          3.94025712         35.94025712
   6            1.49549550          3.93152679         35.93152679
   7            1.59459459          3.92221225         35.92221225
   8            1.69369369          3.91231630         35.91231630
   9            1.79279279          3.90184186         35.90184186
  10            1.89189189          3.89079207         35.89079207
  11            1.99099099          3.87917020         35.87917020
  12            2.09009009          3.86697968         35.86697968
  13            2.18918919          3.85422413         35.85422413
  14            2.28828829          3.84090730         35.84090730
  15            2.38738739          3.82703311         35.82703311
  16            2.48648649          3.81260562         35.81260562
  17            2.58558559          3.79762906         35.79762906
  18            2.68468468          3.78210780         35.78210780
  19            2.78378378          3.76604636         35.76604636
  20            2.88288288          3.74944938         35.74944938
  21            2.98198198          3.73232168         35.73232168
  22            3.08108108          3.71466819         35.71466819
  23            3.18018018          3.69649398         35.69649398
  24            3.27927928          3.67780426         35.67780426
  25            3.37837838          3.65860435         35.65860435
  26            3.47747748          3.63889973         35.63889973
  27            3.57657658          3.61869596         35.61869596
  28            3.67567568          3.59799876         35.59799876
  29            3.77477477          3.57681393         35.57681393
  30            3.87387387          3.55514742         35.55514741
  31            3.97297297          3.53300525         35.53300524
  32            4.07207207          3.51039358         35.51039357
  33            4.17117117          3.48731865         35.48731865
  34            4.27027027          3.46378683         35.46378681
  35            4.36936937          3.43980454         35.43980452
  36            4.46846847          3.41537832         35.41537831
  37            4.56756757          3.39051482         35.39051480
  38            4.66666667          3.36522073         35.36522070
  39            4.76576577          3.33950285         35.33950282
  40            4.86486486          3.31336805         35.31336801
  41            4.96396396          3.28682329         35.28682324
  42            5.06306306          3.25987558         35.25987552
  43            5.16216216          3.23253200         35.23253193
  44            5.26126126          3.20479971         35.20479963
  45            5.36036036          3.17668592         35.17668582
  46            5.45945946          3.14819790         35.14819778
  47            5.55855856          3.11934296         35.11934282
  48            5.65765766          3.09012849         35.09012832
  49            5.75675676          3.06056189         35.06056169
  50            5.85585586          3.03065062         35.03065039
  51            5.95495495          3.00040220         35.00040193
  52            6.05405405          2.96982414         34.96982383
  53            6.15315315          2.93892402         34.93892366
  54            6.25225225          2.90770944         34.90770902
  55            6.35135135          2.87618801         34.87618752
  56            6.45045045          2.84436738         34.84436681
  57            6.54954955          2.81225521         34.81225456
  58            6.64864865          2.77985917         34.77985842
  59            6.74774775          2.74718696         34.74718610
  60            6.84684685          2.71424627         34.71424529
  61            6.94594595          2.68104480         34.68104368
  62            7.04504505          2.64759026         34.64758899
  63            7.14414414          2.61389036         34.61388891
  64            7.24324324          2.57995278         34.57995114
  65            7.34234234          2.54578523         34.54578337
  66            7.44144144          2.51139538         34.51139329
  67            7.54054054          2.47679092         34.47678855
  68            7.63963964          2.44197948         34.44197682
  69            7.73873874          2.40696870         34.40696572
  70            7.83783784          2.37176620         34.37176286
  71            7.93693694          2.33637957         34.33637582
  72            8.03603604          2.30081637         34.30081218
  73            8.13513514          2.26508412         34.26507945
  74            8.23423423          2.22919033         34.22918513
  75            8.33333333          2.19314247         34.19313669
  76            8.43243243          2.15694796         34.15694154
  77            8.53153153          2.12061419         34.12060707
  78            8.63063063          2.08414850         34.08414063
  79            8.72972973          2.04755821         34.04754950
  80            8.82882883          2.01085056         34.01084095
  81            8.92792793          1.97403276         33.97402217
  82            9.02702703          1.93711197         33.93710031
  83            9.12612613          1.90009529         33.90008248
  84            9.22522523          1.86298977         33.86297570
  85            9.32432432          1.82580241         33.82578699
  86            9.42342342          1.78854014         33.78852324
  87            9.52252252          1.75120983         33.75119135
  88            9.62162162          1.71381829         33.71379810
  89            9.72072072          1.67637228         33.67635025
  90            9.81981982          1.63887847         33.63885447
  91            9.91891892          1.60134349         33.60131736
  92           10.01801802          1.56377388         33.56374547
  93           10.11711712          1.52617613         33.52614526
  94           10.21621622          1.48855664         33.48852314
  95           10.31531532          1.45092175         33.45088543
  96           10.41441441          1.41327772         33.41323839
  97           10.51351351          1.37563073         33.37558819
  98           10.61261261          1.33798692         33.33794094
  99           10.71171171          1.30035230         33.30030266
 100           10.81081081          1.26273284         33.26267930
 101           10.90990991          1.22513442         33.22507672
 102           11.00900901          1.18756284         33.18750072
 103           11.10810811          1.15002383         33.14995700
 104           11.20720721          1.11252301         33.11245118
 105           11.30630631          1.07506595         33.07498883
 106           11.40540541          1.03765813         33.03757538
 107           11.50450450          1.00030493         33.00021623
 108           11.60360360          0.96301167         32.96291666
 109           11.70270270          0.92578358         32.92568189
 110           11.80180180          0.88862578         32.88851705
 111           11.90090090          0.85154334         32.85142716
 112           12.00000000          0.81454124         32.81441719
 113           12.09909910          0.77762435         32.77749200
 114           12.19819820          0.74079747         32.74065638
 115           12.29729730          0.70406532         32.70391502
 116           12.39639640          0.66743253         32.66727253
 117           12.49549550          0.63090364         32.63073344
 118           12.59459459          0.59448310         32.59430217
 119           12.69369369          0.55817528         32.55798309
 120           12.79279279          0.52198447         32.52178045
 121           12.89189189          0.48591487         32.48569843
 122           12.99099099          0.44997057         32.44974112
 123           13.09009009          0.41415562         32.41391252
 124           13.18918919          0.37847394         32.37821655
 125           13.28828829          0.34292938         32.34265704
 126           13.38738739          0.30752573         32.30723774
 127           13.48648649          0.27226665         32.27196230
 128           13.58558559          0.23715575         32.23683430
 129           13.68468468          0.20219654         32.20185723
 130           13.78378378          0.16739245         32.16703450
 131           13.88288288          0.13274682         32.13236942
 132           13.98198198          0.09826291         32.09786523
 133           14.08108108          0.06394391         32.06352509
