  1            0.99900000          1.00000000          1.00100000          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502
***            0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502
***            0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502          0.97720502
***            0.97720502
  2           11.08990909         11.09090909         11.09190909          0.97719936          0.97719936          0.97719936          0.97719936          0.97719936          0.97719936          0.97719936          0.97719971          0.97719971          0.97719971          0.97719971          0.97719971          0.97719971
***            0.97720128          0.97720128          0.97720128          0.97720128          0.97720129          0.97720129          0.97720129          0.97720501          0.97720501          0.97720502          0.97720502          0.97720503          0.97720503          0.97720504          0.97720873          0.97720874
***            0.97720876          0.97720878          0.97720879          0.97720879          0.97721030          0.97721030          0.97721031          0.97721034          0.97721036          0.97721037          0.97721037          0.97721065          0.97721065          0.97721066          0.97721068          0.97721071
***            0.97721072
  3           21.18081818         21.18181818         21.18281818          0.97695696          0.97695696          0.97695696          0.97695696          0.97695696          0.97695696          0.97695696          0.97697226          0.97697226          0.97697226          0.97697226          0.97697226          0.97697226
***            0.97704090          0.97704092          0.97704098          0.97704113          0.97704128          0.97704134          0.97704135          0.97720308          0.97720320          0.97720372          0.97720495          0.97720618          0.97720670          0.97720681          0.97736426          0.97736455
***            0.97736889          0.97737195          0.97737324          0.97737353          0.97743193          0.97743229          0.97743394          0.97743786          0.97744178          0.97744343          0.97744379          0.97744696          0.97744734          0.97744907          0.97745318          0.97745729
***            0.97745940
  4           31.27172727         31.27272727         31.27372727          0.97501279          0.97501279          0.97501279          0.97501279          0.97501279          0.97501279          0.97501279          0.97514769          0.97514769          0.97514770          0.97514771          0.97514772          0.97514773
***            0.97575066          0.97575092          0.97575207          0.97575481          0.97575756          0.97575871          0.97575897          0.97716645          0.97716859          0.97717820          0.97720107          0.97722394          0.97723356          0.97723569          0.97856708          0.97857240
***            0.97865335          0.97871035          0.97873432          0.97873964          0.97915452          0.97916135          0.97919208          0.97926517          0.97933827          0.97936902          0.97937585          0.97928503          0.97929219          0.97932442          0.97940107          0.97947773
***            0.97951714
  5           41.36263636         41.36363636         41.36463636          0.96765503          0.96765503          0.96765503          0.96765502          0.96765502          0.96765502          0.96765502          0.96823852          0.96823852          0.96823856          0.96823866          0.96823875          0.96823879
